Date,Open,High,Low,Close,Volume
2020-01-02,45.75,46.66,44.91,45.92,206116
2020-01-03,45.92,47.41,45.06,47.05,180842
2020-01-06,48.02,49.8,46.08,46.8,265002
2020-01-07,46.75,47.1,45.86,46.47,135075
2020-01-08,46.75,48.13,45.69,47.08,192241
2020-01-09,48.41,50.36,47.31,50.08,201644
2020-01-10,49.63,49.63,48.23,49.14,144280
2020-01-13,50.63,52.01,49.63,51.13,215974
2020-01-14,52.58,53.27,50.18,50.47,217685
2020-01-15,50.47,51.51,48.53,50.25,177587
2020-01-16,50.63,50.91,49.44,50.86,129342
2020-01-17,50.83,51.5,49.52,50.12,146624
2020-01-20,50.07,55.68,48.91,54.63,248922
2020-01-21,54.25,54.52,53.11,53.77,142671
2020-01-22,53.77,60.53,52.51,60.53,349916
2020-01-23,59.8,62.3,55.69,58.73,359862
2020-02-03,56.5,65.9,56.47,61.39,526346
2020-02-04,67.17,68.91,63.97,68.91,359136
2020-02-05,74.06,77.18,73.02,77.18,530824
2020-02-06,72.31,80.57,71.18,80.57,579190
2020-02-07,78.41,80.26,74.5,75.19,454995
2020-02-10,75.63,79.85,75.08,78.0,375409
2020-02-11,79.08,79.52,73.75,74.19,339946
2020-02-12,71.5,76.1,70.65,74.88,325862
2020-02-13,72.85,74.73,71.57,73.05,313610
2020-02-14,74.47,75.02,68.89,69.47,439619
2020-02-17,68.97,72.95,68.9,71.8,344471
2020-02-18,71.8,74.52,71.11,73.2,282305
2020-02-19,77.86,77.91,71.13,71.3,418168
2020-02-20,73.13,77.86,71.19,75.08,518440
2020-02-21,73.86,76.47,72.42,75.02,338051
2020-02-24,73.41,75.0,70.9,71.97,365231
2020-02-25,69.38,78.13,68.88,76.11,516026
2020-02-26,74.36,75.55,69.91,71.11,338280
2020-02-27,72.36,73.22,68.86,69.23,332002
2020-02-28,63.96,66.75,61.47,61.56,508447
2020-03-02,63.3,65.05,61.16,63.96,318150
2020-03-03,67.3,69.35,66.13,67.18,296911
2020-03-04,66.18,67.23,63.85,66.02,205946
2020-03-05,67.6,68.32,65.08,66.87,224633
2020-03-06,65.08,68.02,64.8,65.92,159809
2020-03-09,63.41,64.47,60.08,60.33,294253
2020-03-10,60.42,64.91,60.08,64.26,292745
2020-03-11,65.63,68.73,63.3,64.4,339232
2020-03-12,61.86,62.17,59.15,60.75,333858
2020-03-13,56.25,60.52,56.2,59.58,274553
2020-03-16,57.3,57.79,52.24,52.33,490485
2020-03-17,53.41,54.48,48.0,51.72,392203
2020-03-18,52.25,54.8,50.63,51.38,313384
2020-03-19,52.3,52.58,48.24,50.1,331563
2020-03-20,51.75,52.69,49.09,50.56,225142
2020-03-23,47.75,48.17,44.53,45.9,307618
2020-03-24,47.63,48.9,45.63,48.17,291170
2020-03-25,50.75,54.07,50.63,53.41,385928
2020-03-26,52.31,54.16,51.91,52.65,194371
2020-03-27,54.08,54.71,51.39,52.14,174991
2020-03-30,50.63,53.21,47.69,52.47,261655
2020-03-31,53.01,54.6,51.67,53.07,194852
2020-04-01,54.58,55.95,52.35,53.08,298951
2020-04-02,51.47,54.86,51.03,54.86,209588
2020-04-03,55.44,55.63,52.75,53.41,182204
2020-04-07,54.86,56.24,54.53,55.47,183729
2020-04-08,55.02,55.91,54.3,54.52,119470
2020-04-09,55.07,55.35,52.75,52.97,160528
2020-04-10,53.5,54.56,51.71,52.0,145696
2020-04-13,50.02,51.18,49.01,49.91,124581
2020-04-14,51.75,56.28,51.47,56.28,388939
2020-04-15,58.3,59.46,56.87,57.3,325645
2020-04-16,57.45,60.47,56.65,60.05,216381
2020-04-17,61.79,64.29,61.25,62.27,292522
2020-04-20,61.97,62.16,59.46,60.92,187002
2020-04-21,59.52,60.0,56.75,58.7,193917
2020-04-22,56.93,59.69,56.91,58.88,146869
2020-04-23,60.02,60.02,57.63,58.36,125379
2020-04-24,58.41,61.75,58.41,59.35,169916
2020-04-27,60.09,61.75,59.57,60.58,143655
2020-04-28,62.3,64.02,59.31,63.02,226917
2020-04-29,61.82,64.07,61.75,63.26,119544
2020-04-30,66.19,68.7,66.19,66.4,233385
2020-05-06,63.41,67.75,63.27,67.18,191464
2020-05-07,67.47,67.97,64.52,65.75,160787
2020-05-08,65.63,66.87,64.46,66.23,141339
2020-05-11,66.3,67.29,61.22,62.65,285364
2020-05-12,63.45,63.9,61.6,63.41,160277
2020-05-13,62.48,63.77,62.23,63.0,121542
2020-05-14,62.77,63.0,61.47,61.52,114335
2020-05-15,63.93,68.24,63.39,67.01,322121
2020-05-18,66.75,66.75,63.8,64.97,160889
2020-05-19,65.75,67.19,65.37,65.78,104252
2020-05-20,69.52,72.52,68.97,69.13,329693
2020-05-21,70.53,71.5,67.62,68.11,154876
2020-05-22,67.65,67.78,64.52,65.53,148173
2020-05-25,65.46,66.42,64.27,66.36,103782
2020-05-26,67.17,69.75,66.86,69.54,174865
2020-05-27,69.5,72.3,69.47,70.36,181049
2020-05-28,69.52,70.02,65.91,68.32,174247
2020-05-29,67.86,68.32,66.47,67.04,141428
2020-06-01,68.12,71.21,67.5,70.05,151766
2020-06-02,71.75,72.24,67.85,69.22,137030
2020-06-03,69.52,70.15,68.31,68.69,113635
2020-06-04,69.53,71.94,68.87,69.65,137574
2020-06-05,69.4,70.4,68.12,70.31,98627
2020-06-08,71.72,72.17,69.9,70.42,105604
2020-06-09,72.15,72.96,71.37,71.85,150699
2020-06-10,75.15,75.15,71.59,73.36,198210
2020-06-11,75.2,80.8,74.16,77.41,368177
2020-06-12,75.3,76.59,74.58,74.81,252446
2020-06-15,73.11,75.9,72.71,73.92,159452
2020-06-16,75.76,77.02,74.1,75.2,131297
2020-06-17,74.67,75.48,72.98,73.98,125291
2020-06-18,73.98,74.96,72.98,74.62,96562
2020-06-19,75.19,80.09,74.73,78.48,250193
2020-06-22,78.4,81.48,77.7,77.98,190412
2020-06-23,78.53,80.27,77.16,80.14,159475
2020-06-24,81.05,82.75,80.37,81.59,146604
2020-06-29,81.03,82.15,80.21,81.33,116040
2020-06-30,82.42,86.02,82.42,83.18,162514
2020-07-01,85.48,87.37,79.58,80.42,286575
2020-07-02,81.87,81.97,77.71,79.2,270480
2020-07-03,80.76,81.17,79.11,79.42,240264
2020-07-06,79.76,86.31,79.42,85.09,307153
2020-07-07,90.76,94.97,90.48,94.97,253604
2020-07-08,96.31,96.77,91.86,96.07,288890
2020-07-09,95.76,101.18,95.2,100.21,279036
2020-07-10,99.08,101.4,97.76,99.59,168293
2020-07-13,103.87,110.92,103.87,110.82,303269
2020-07-14,105.2,108.92,102.35,106.28,333296
2020-07-15,107.98,108.85,98.6,101.33,274351
2020-07-16,101.87,104.58,95.42,95.63,272550
2020-07-17,95.76,98.08,90.8,95.03,303786
2020-07-20,99.7,103.6,96.92,100.37,289999
2020-07-21,102.97,102.97,99.09,101.31,186566
2020-07-22,100.2,103.64,99.11,101.81,191658
2020-07-23,101.31,106.04,100.76,104.92,255900
2020-07-24,102.42,102.92,95.12,96.69,343983
2020-07-27,96.31,97.97,91.86,92.59,251556
2020-07-28,95.23,97.7,94.93,96.05,201490
2020-07-29,96.05,100.2,94.8,99.75,189986
2020-07-30,100.2,101.3,98.76,100.4,143531
2020-07-31,100.76,105.92,100.48,104.18,207050
2020-08-03,105.13,106.2,103.01,106.09,151061
2020-08-04,105.37,110.19,103.16,103.36,199581
2020-08-05,103.39,104.53,101.06,103.17,127301
2020-08-06,106.8,107.36,101.87,103.81,145657
2020-08-07,102.42,105.37,98.6,99.81,180552
2020-08-10,99.76,100.37,96.36,97.8,130787
2020-08-11,97.84,99.98,96.38,96.55,122332
2020-08-12,97.37,97.57,90.87,95.05,252727
2020-08-13,97.87,98.52,94.35,95.2,130612
2020-08-14,96.15,97.67,95.2,97.63,119700
2020-08-17,97.42,97.63,94.2,95.55,197074
2020-08-18,97.2,100.2,95.13,97.02,221224
2020-08-19,96.2,96.2,91.87,91.97,187147
2020-08-20,90.2,92.42,89.09,90.99,130201
2020-08-21,92.62,94.06,91.87,93.11,146553
2020-08-24,94.2,101.87,93.11,98.54,258074
2020-08-25,98.54,100.76,96.85,97.38,145512
2020-08-26,96.87,97.41,93.5,94.31,152414
2020-08-27,98.81,102.15,96.87,100.17,283995
2020-08-28,100.93,102.7,99.47,102.03,169690
2020-08-31,102.79,103.4,100.21,100.95,135171
2020-09-01,101.03,105.76,100.21,105.34,197211
2020-09-02,104.85,105.27,101.87,103.71,146097
2020-09-03,102.98,103.53,100.7,102.92,124541
2020-09-04,98.66,100.57,97.75,99.79,147761
2020-09-07,99.03,100.12,86.31,89.87,447969
2020-09-08,89.09,90.76,86.04,90.15,220754
2020-09-09,85.76,90.48,85.2,88.71,189351
2020-09-10,89.09,91.59,88.81,89.07,148290
2020-09-11,89.65,91.48,88.17,90.37,117659
2020-09-14,92.15,94.63,91.87,93.41,142923
2020-09-15,94.92,95.76,93.43,94.48,117039
2020-09-16,95.64,95.7,92.15,93.12,118380
2020-09-17,93.11,98.51,92.42,96.53,181320
2020-09-18,96.82,97.42,94.77,96.33,105522
2020-09-21,98.48,101.87,95.68,96.27,160701
2020-09-22,97.42,99.76,96.27,97.7,123410
2020-09-23,97.2,97.32,92.48,95.76,157202
2020-09-24,93.9,95.09,91.93,92.32,106690
2020-09-25,93.87,94.48,92.2,92.7,68017
2020-09-28,93.78,95.73,92.87,93.48,82336
2020-09-29,94.92,100.9,94.88,100.2,202463
