Date,price_ratio,price_spread,zscore,spread_ma5,spread_ma20,spread_std,bollinger_high,bollinger_low,volume_ratio
2024-06-25,2.181508929656178,97.25,-1.0011557277513237,98.67999999999999,107.973,10.710621437570676,129.39424287514134,86.55175712485865,0.7363828635030274
2024-06-26,2.183072789447973,96.87,-0.9487083333623705,98.066,106.603,10.259212086294971,127.12142417258994,86.08457582741005,0.9365333237940927
2024-06-27,2.2056676153941344,97.43,-0.8083809155107562,97.602,105.5,9.982917514698075,125.46583502939615,85.53416497060385,1.5261666123731934
2024-06-28,2.1375524302985442,92.21000000000001,-1.2103902294452036,96.60400000000001,104.16099999999999,9.873675207604624,123.90835041520924,84.41364958479073,2.088630057408008
2024-07-01,2.1187586034288577,89.4,-1.3498852027916903,94.632,102.78,9.911953973811173,122.60390794762235,82.95609205237766,2.088270559188011
2024-07-02,2.1441053564644803,90.35,-1.1572506333224535,93.252,101.34450000000001,9.500534874139522,120.34556974827905,82.34343025172097,1.4046595924912095
2024-07-03,2.1954753431621756,94.06,-0.7122247815321574,92.69,99.9385,8.253714490745482,116.44592898149097,83.43107101850904,1.6780189284726945
2024-07-04,2.1825988129814373,93.65,-0.7183601108863095,91.934,98.6485,6.958209293988869,112.56491858797773,84.73208141202227,1.193052139187134
2024-07-05,2.181562819203269,92.54000000000002,-0.9949488405997529,92.00000000000001,97.23100000000001,4.71481528353987,106.66063056707975,87.80136943292027,1.4137563372036404
2024-07-08,2.1327701424788805,89.84,-1.643467619795141,92.088,96.208,3.8747340825575676,103.95746816511513,88.45853183488487,1.0255183867043842
2024-07-09,2.0651270772238512,87.16999999999999,-2.040586473467496,91.45200000000001,95.4255,4.045650653545564,103.51680130709113,87.33419869290887,1.1681976087383175
2024-07-10,2.0326365969930325,84.47999999999999,-2.2270180303653704,89.536,94.638,4.561256290472632,103.76051258094527,85.51548741905474,1.6263188235898876
