Date,Open,High,Low,Close,Volume
2020-01-02,22.44,22.96,21.93,22.74,441533
2020-01-03,22.61,23.84,22.31,23.39,536578
2020-01-06,23.41,25.99,23.41,25.98,961275
2020-01-07,25.41,26.14,25.27,25.96,578104
2020-01-08,26.0,27.81,25.09,26.45,850346
2020-01-09,27.05,27.19,25.98,26.61,451568
2020-01-10,26.12,27.04,25.74,26.75,460877
2020-01-13,27.26,27.69,26.56,27.11,403600
2020-01-14,27.73,29.53,27.41,28.41,607636
2020-01-15,28.06,28.34,26.41,27.48,509522
2020-01-16,27.25,28.11,26.75,27.26,383866
2020-01-17,27.04,27.62,26.81,27.29,367475
2020-01-20,27.09,28.33,26.41,27.81,407137
2020-01-21,27.42,27.89,26.89,26.91,292550
2020-01-22,26.84,29.15,26.8,28.59,605510
2020-01-23,28.47,29.76,26.59,28.39,590399
2020-02-03,25.29,26.69,25.29,25.29,585891
2020-02-04,26.68,28.07,26.0,28.07,688621
2020-02-05,29.62,31.14,29.21,30.05,904906
2020-02-06,28.37,31.35,28.23,30.93,745216
2020-02-07,30.34,31.31,29.57,30.94,472808
2020-02-10,30.69,34.29,30.69,34.29,680223
2020-02-11,36.12,36.39,33.91,35.36,757975
2020-02-12,34.59,39.15,34.58,39.15,495623
2020-02-13,41.24,43.31,39.14,39.9,981344
2020-02-14,40.88,41.95,38.44,38.68,772018
2020-02-17,38.67,41.7,38.63,41.69,634669
2020-02-18,41.55,42.41,38.48,40.42,742147
2020-02-19,41.34,42.16,38.8,39.07,679910
2020-02-20,39.98,40.26,38.12,39.46,580228
2020-02-21,39.11,39.75,38.41,38.61,609376
2020-02-24,37.76,38.02,34.55,36.69,938421
2020-02-25,35.95,40.61,35.81,40.61,825477
2020-02-26,41.11,42.56,38.76,39.6,973550
2020-02-27,40.62,40.62,37.41,37.79,558832
2020-02-28,35.56,36.76,33.84,34.54,673314
2020-03-02,35.39,36.47,33.94,35.48,545613
2020-03-03,36.72,38.66,36.09,36.51,537488
2020-03-04,36.44,37.29,35.42,36.75,372264
2020-03-05,37.05,37.32,35.19,36.01,407499
2020-03-06,34.73,37.76,34.64,36.12,433652
2020-03-09,34.84,35.89,32.87,33.23,512193
2020-03-10,33.12,34.89,32.06,34.77,471326
2020-03-11,34.91,35.54,33.84,33.89,360455
2020-03-12,32.69,33.19,31.58,32.93,375261
2020-03-13,30.81,32.41,30.28,31.69,390207
2020-03-16,31.69,31.7,28.26,28.26,516927
2020-03-17,28.12,29.11,25.84,27.03,626852
2020-03-18,27.42,28.9,26.61,26.73,501249
2020-03-19,27.05,27.26,24.98,26.41,512285
2020-03-20,27.41,27.81,25.28,26.24,412241
2020-03-23,25.16,25.16,23.36,23.39,492446
2020-03-24,24.18,25.84,23.69,25.34,622967
2020-03-25,26.41,27.81,26.19,27.66,646323
2020-03-26,27.09,27.32,26.46,26.57,425986
2020-03-27,27.2,27.33,25.64,25.81,350373
2020-03-30,24.76,25.51,23.12,25.12,499061
2020-03-31,25.42,26.61,24.98,26.16,503256
2020-04-01,26.61,28.76,25.87,27.15,710364
2020-04-02,26.85,28.19,26.44,28.14,433887
2020-04-03,28.11,28.51,26.77,27.06,398584
2020-04-07,27.96,28.34,27.42,28.32,418950
2020-04-08,27.84,28.54,27.43,27.91,325794
2020-04-09,28.12,28.21,27.07,27.23,241822
