Date,Open,High,Low,Close,Volume
2020-01-02,13.05,13.31,12.99,13.21,159346
2020-01-03,13.22,13.49,13.05,13.17,129936
2020-01-06,12.95,13.55,12.89,13.25,169871
2020-01-07,13.26,13.32,13.08,13.17,93401
2020-01-08,13.01,13.27,12.87,12.92,110974
2020-01-09,13.07,13.22,12.95,13.04,89217
2020-01-10,13.04,13.04,12.69,12.8,109295
2020-01-13,14.36,14.36,13.99,14.36,518828
2020-01-14,15.49,15.82,14.82,14.97,614976
2020-01-15,15.16,15.41,14.58,14.93,298705
2020-01-16,14.99,15.34,14.42,15.19,335737
2020-01-17,15.11,16.99,14.89,16.47,530600
2020-01-20,16.26,17.12,15.99,16.74,300776
2020-01-21,16.4,16.4,16.01,16.06,203837
2020-01-22,15.99,17.32,15.86,16.91,327980
2020-01-23,16.49,17.78,16.33,17.1,291585
2020-02-03,15.11,15.32,15.11,15.11,100398
2020-02-04,15.16,16.32,15.16,15.94,367775
2020-02-05,16.39,17.82,16.15,17.43,446230
2020-02-06,16.64,17.44,16.62,17.41,301132
2020-02-07,17.4,17.4,16.04,16.46,321282
2020-02-10,16.89,18.28,16.77,17.47,352796
2020-02-11,17.16,17.2,16.58,16.84,196176
2020-02-12,16.84,17.36,16.61,16.89,197456
2020-02-13,16.66,17.2,16.32,16.34,236947
2020-02-14,16.34,16.46,15.97,16.12,211174
2020-02-17,16.13,16.68,16.13,16.65,209889
2020-02-18,16.42,17.16,16.41,16.98,228365
2020-02-19,18.65,18.65,17.71,17.79,437477
2020-02-20,18.21,19.86,18.19,19.86,649391
2020-02-21,19.49,19.91,19.05,19.66,455189
2020-02-24,18.96,19.54,18.81,19.22,357969
2020-02-25,18.62,21.22,18.55,20.77,407434
2020-02-26,20.42,22.42,20.16,21.06,522768
2020-02-27,21.05,21.54,19.85,20.51,272700
2020-02-28,19.38,20.15,18.81,18.95,338254
2020-03-02,19.02,19.57,18.49,19.44,225643
2020-03-03,20.42,20.56,19.64,19.78,274253
2020-03-04,19.47,19.76,18.73,19.35,180933
2020-03-05,19.5,19.7,18.99,19.43,170004
2020-03-06,18.99,19.67,18.93,18.94,147210
2020-03-09,18.25,18.25,16.88,16.97,292479
2020-03-10,16.36,17.66,16.27,17.21,266805
2020-03-11,17.41,17.54,16.69,16.74,222212
2020-03-12,16.26,16.38,15.79,16.17,232383
2020-03-13,15.09,15.99,14.61,15.71,213198
2020-03-16,16.02,16.27,15.12,15.12,238773
2020-03-17,15.12,15.48,14.45,14.84,180919
2020-03-18,15.02,15.38,14.5,14.52,172684
2020-03-19,14.53,14.66,13.78,14.28,194450
2020-03-20,14.59,14.75,14.29,14.66,148296
2020-03-23,13.91,14.09,13.12,13.21,242740
2020-03-24,13.58,13.78,12.95,13.73,205027
2020-03-25,14.34,14.76,14.17,14.57,289787
2020-03-26,14.66,15.55,14.36,15.25,296621
2020-03-27,15.62,15.84,15.3,15.42,229972
2020-03-30,15.49,16.42,15.45,15.9,328937
2020-03-31,16.08,17.15,15.64,17.15,350174
2020-04-01,17.12,17.38,16.16,16.2,365565
2020-04-02,16.06,16.06,15.42,16.02,233842
2020-04-03,16.02,16.02,15.46,15.49,169190
2020-04-07,15.97,16.13,15.69,15.93,189116
2020-04-08,15.76,15.76,15.5,15.6,129543
2020-04-09,15.76,16.0,15.67,15.71,133338
2020-04-10,15.92,15.92,15.21,15.35,131855
2020-04-13,15.4,15.8,15.4,15.76,102560
2020-04-14,15.76,16.49,15.62,16.46,233863
2020-04-15,16.94,17.95,16.62,17.2,306227
2020-04-16,17.19,17.59,16.84,17.16,165259
2020-04-17,17.36,17.48,16.72,16.76,156490
2020-04-20,16.96,16.96,16.54,16.78,107474
2020-04-21,16.66,17.05,16.42,16.95,147148
2020-04-22,16.62,17.16,16.45,16.97,121458
2020-04-23,17.15,17.34,16.5,16.57,116028
2020-04-24,16.71,17.32,16.66,16.73,135949
2020-04-27,16.83,16.85,16.12,16.15,138265
2020-04-28,16.16,16.35,15.41,16.15,128658
2020-04-29,16.56,16.97,16.34,16.49,165126
2020-04-30,16.76,17.35,16.66,17.14,218876
2020-05-06,16.96,17.99,16.86,17.88,231906
2020-05-07,17.88,17.88,17.15,17.19,225118
2020-05-08,17.19,17.32,16.92,17.08,171472
2020-05-11,16.92,17.04,16.53,16.78,190716
2020-05-12,16.79,16.87,16.56,16.87,104020
2020-05-13,16.87,17.07,16.66,16.82,111115
2020-05-14,16.79,16.79,16.34,16.39,118363
2020-05-15,16.42,16.68,16.26,16.48,102771
2020-05-18,16.29,16.62,15.96,16.22,104743
2020-05-19,16.49,16.69,16.41,16.56,94042
2020-05-20,16.72,17.26,16.71,16.83,164708
2020-05-21,16.86,16.95,16.16,16.21,120968
2020-05-22,16.21,16.38,15.66,15.83,92350
2020-05-25,15.83,16.01,15.59,16.0,59697
2020-05-26,16.09,16.62,16.09,16.59,98544
2020-05-27,17.02,17.14,16.18,16.26,113617
2020-05-28,16.27,16.57,15.96,16.32,86300
2020-05-29,16.2,16.5,16.09,16.29,68036
2020-06-01,16.41,17.05,16.3,16.93,161068
2020-06-02,17.01,17.88,16.78,17.49,204796
2020-06-03,17.42,17.51,16.98,17.13,146357
2020-06-04,17.32,17.56,17.06,17.19,105743
2020-06-05,17.49,18.25,17.27,18.22,265451
2020-06-08,18.16,18.43,17.97,18.09,172441
2020-06-09,18.16,18.63,17.72,17.82,204431
2020-06-10,17.91,17.96,17.38,17.51,186194
2020-06-11,17.78,18.56,17.66,18.1,280233
2020-06-12,17.62,17.8,17.37,17.65,175497
2020-06-15,17.99,18.45,17.57,17.99,195740
2020-06-16,18.42,18.64,18.2,18.52,214116
2020-06-17,18.49,18.53,17.94,18.53,144378
2020-06-18,18.42,19.41,18.14,19.4,279033
2020-06-19,19.39,20.05,19.26,19.49,220619
2020-06-22,19.36,20.08,19.25,19.82,196255
2020-06-23,19.68,21.19,19.49,20.83,260375
2020-06-24,20.86,21.51,20.74,21.06,196681
2020-06-29,20.99,21.3,20.59,20.69,173376
2020-06-30,20.96,21.44,20.78,21.09,169831
2020-07-01,21.56,22.31,20.83,21.31,235093
2020-07-02,21.37,22.03,21.09,21.2,214074
2020-07-03,21.59,23.61,21.57,23.61,455388
2020-07-06,23.6,24.35,22.96,24.12,461224
2020-07-07,25.41,26.66,24.82,24.82,466706
2020-07-08,24.47,25.25,24.44,24.74,319156
2020-07-09,24.74,25.92,24.31,25.31,327974
2020-07-10,25.31,27.94,24.84,26.82,396029
2020-07-13,28.02,29.79,27.92,29.79,579871
2020-07-14,29.79,29.79,27.35,29.34,536389
2020-07-15,29.49,29.59,28.05,28.66,388696
2020-07-16,28.62,28.99,25.51,25.51,560467
2020-07-17,24.83,25.61,23.85,24.35,430969
2020-07-20,25.06,26.92,24.36,26.21,431730
2020-07-21,27.12,27.6,26.38,26.52,317222
2020-07-22,25.82,26.98,25.66,26.22,269545
2020-07-23,25.84,26.82,25.68,26.82,327287
2020-07-24,26.42,26.54,24.66,24.82,388174
2020-07-27,24.99,25.56,24.59,25.0,208828
2020-07-28,25.82,26.04,24.82,25.13,216441
2020-07-29,24.93,26.32,24.66,26.13,287976
2020-07-30,26.16,26.37,25.26,25.49,224493
2020-07-31,25.48,26.04,24.98,25.62,258123
2020-08-03,25.63,25.99,25.29,25.88,280304
2020-08-04,26.14,27.49,26.12,26.82,383956
2020-08-05,26.82,26.82,26.02,26.54,190227
2020-08-06,26.76,27.02,26.16,26.73,205333
2020-08-07,26.36,26.74,25.09,25.62,245974
2020-08-10,25.09,25.27,23.82,24.48,336539
2020-08-11,24.46,24.89,24.14,24.16,194173
2020-08-12,24.22,24.48,23.31,24.48,220972
2020-08-13,24.99,25.09,24.37,24.42,135828
2020-08-14,24.52,24.69,23.82,24.47,120620
2020-08-17,24.56,24.9,24.27,24.8,151032
2020-08-18,25.18,25.35,24.44,24.57,161553
2020-08-19,24.31,24.39,23.68,23.73,187358
2020-08-20,23.72,23.84,23.21,23.36,122724
2020-08-21,23.84,24.06,23.48,23.7,111905
2020-08-24,23.81,24.6,23.74,24.32,171281
2020-08-25,24.18,24.8,24.01,24.26,145106
2020-08-26,24.51,25.61,24.4,24.98,320472
2020-08-27,26.01,26.36,25.41,25.65,252035
2020-08-28,25.51,25.86,24.85,25.64,186470
2020-08-31,26.18,26.58,25.47,25.51,215347
2020-09-01,26.17,28.34,25.95,28.34,394613
