Date,NINGDE_Close,BYD_Close,spread,spread_rm,spread_rstd,zscore,dataset
2020-01-02,45.92,13.21,32.71,32.71,0.0,-1.7759194932576639,train
2020-01-03,47.05,13.17,33.879999999999995,33.295,0.8273149339882543,-1.7542065161448046,train
2020-01-06,46.8,13.25,33.55,33.379999999999995,0.6032412452742217,-1.7603306891766368,train
2020-01-07,46.47,13.17,33.3,33.36,0.4941659640242294,-1.764970214200752,train
2020-01-08,47.08,12.92,34.16,33.519999999999996,0.55780821076782,-1.7490102481177954,train
2020-01-09,50.08,13.04,37.04,34.10666666666666,1.521179367026344,-1.6955629198399875,train
2020-01-10,49.14,12.8,36.34,34.425714285714285,1.625072892138045,-1.70855358990751,train
2020-01-13,51.13,14.36,36.77,34.71875,1.7177180668383458,-1.7005736068660315,train
2020-01-14,50.47,14.97,35.5,34.80555555555556,1.6277446906003974,-1.7241423939885374,train
2020-01-15,50.25,14.93,35.32,34.857,1.5432508977263997,-1.7274828520059007,train
2020-01-16,50.86,15.19,35.67,34.93090909090909,1.484435613594977,-1.720987516972139,train
2020-01-17,50.12,16.47,33.65,34.82416666666666,1.4628580887696496,-1.7584748791669904,train
2020-01-20,54.63,16.74,37.89,35.059999999999995,1.638490158652168,-1.6797885347579953,train
2020-01-21,53.77,16.06,37.71000000000001,35.24928571428571,1.7261939648821667,-1.683128992775358,train
2020-01-22,60.53,16.91,43.620000000000005,35.80733333333333,2.727299728582069,-1.5734506212052728,train
2020-01-23,58.73,17.1,41.629999999999995,36.17125,3.010191300676201,-1.6103812403972306,train
2020-02-03,61.39,15.11,46.28,36.765882352941176,3.80866291962076,-1.5240860749486864,train
2020-02-04,68.91,15.94,52.97,37.666111111111114,5.3141355767523075,-1.3999323853033614,train
2020-02-05,77.18,17.43,59.75000000000001,38.828421052631576,7.2346022413566935,-1.2741084666493547,train
2020-02-06,80.57,17.41,63.16,40.045,8.898654244795729,-1.2108253453204223,train
2020-02-07,75.19,16.46,58.73,41.346,9.640948522891957,-1.2930377287477453,train
2020-02-10,78.0,17.47,60.53,42.6785,10.368940094542474,-1.259633148574115,train
2020-02-11,74.19,16.84,57.349999999999994,43.8685,10.628622862222949,-1.3186479068808616,train
2020-02-12,74.88,16.89,57.989999999999995,45.103,10.769422161110151,-1.3067707228191265,train
2020-02-13,73.05,16.34,56.709999999999994,46.2305,10.743851840397882,-1.3305250909425967,train
2020-02-14,69.47,16.12,53.349999999999994,47.046,10.627912306751496,-1.3928803072667062,train
2020-02-17,71.8,16.65,55.15,47.9865,10.461617704733808,-1.359475727093076,train
2020-02-18,73.2,16.98,56.22,48.958999999999996,10.266268168388308,-1.3396185599898627,train
2020-02-19,71.3,17.79,53.51,49.8595,9.803001406658433,-1.3899110112512725,train
2020-02-20,75.08,19.86,55.22,50.854499999999994,9.24353342954726,-1.3581766600863237,train
2020-02-21,75.02,19.66,55.36,51.839,8.564802452633183,-1.3555785260728193,train
2020-02-24,71.97,19.22,52.75,52.794,7.418010373053991,-1.4040151673245826,train
2020-02-25,76.11,20.77,55.34,53.6665,6.547954501819212,-1.3559496880747484,train
2020-02-26,71.11,21.06,50.05,54.283500000000004,5.455532464726423,-1.454122037585028,train
2020-02-27,69.23,20.51,48.72,54.5385,5.033757908780505,-1.478804310713321,train
2020-02-28,61.56,18.95,42.61,54.5875,4.90460243037086,-1.5921943023026988,train
2020-03-02,63.96,19.44,44.519999999999996,54.4995,5.074355001791881,-1.556748331118458,train
2020-03-03,67.18,19.78,47.400000000000006,54.221000000000004,5.310093566427081,-1.5033010028406497,train
2020-03-04,66.02,19.35,46.669999999999995,53.56699999999999,5.398041652693159,-1.5168484159110667,train
2020-03-05,66.87,19.43,47.440000000000005,52.78099999999999,5.061707533816482,-1.5025586788367915,train
2020-03-06,65.92,18.94,46.980000000000004,52.19349999999999,5.016575971086656,-1.5110954048811636,train
2020-03-09,60.33,16.97,43.36,51.335,4.983909372327991,-1.578275727230353,train
2020-03-10,64.26,17.21,47.050000000000004,50.82,4.860280477070159,-1.509796337874411,train
2020-03-11,64.4,16.74,47.66000000000001,50.3035,4.600145621264829,-1.4984758968155698,train
2020-03-12,60.75,16.17,44.58,49.696999999999996,4.509777798237246,-1.5556348451126703,train
2020-03-13,59.58,15.71,43.87,49.223,4.602858494000157,-1.5688110961811577,train
2020-03-16,52.33,15.12,37.21,48.326,5.1074274088666245,-1.6924080428235888,train
2020-03-17,51.72,14.84,36.879999999999995,47.359,5.3588312747817435,-1.6985322158554212,train
2020-03-18,51.38,14.52,36.86,46.526500000000006,5.638950326920224,-1.6989033778573503,train
2020-03-19,50.1,14.28,35.82,45.5565,5.732601388916778,-1.71820380195767,train
2020-03-20,50.56,14.66,35.900000000000006,44.5835,5.631660758136706,-1.716719153949953,train
2020-03-23,45.9,13.21,32.69,43.5805,5.881460143625281,-1.7762906552595934,train
2020-03-24,48.17,13.73,34.44,42.5355,5.528216115624707,-1.7438139800907864,train
2020-03-25,53.41,14.57,38.839999999999996,41.975,5.2893542536922915,-1.662158339666357,train
2020-03-26,52.65,15.25,37.4,41.409,5.13295123891244,-1.6888820038052612,train
2020-03-27,52.14,15.42,36.72,41.1145,5.228496286797263,-1.701501511870855,train
2020-03-30,52.47,15.9,36.57,40.717,5.258082600300142,-1.7042852268853241,train
2020-03-31,53.07,17.15,35.92,40.143,5.114789803779064,-1.7163479919480238,train
2020-04-01,53.08,16.2,36.879999999999995,39.6535,4.922096552657657,-1.6985322158554212,train
2020-04-02,54.86,16.02,38.84,39.2235,4.5690483576711065,-1.662158339666357,train
2020-04-03,53.41,15.49,37.919999999999995,38.7705,4.193224453304364,-1.6792317917551016,train
2020-04-07,55.47,15.93,39.54,38.579499999999996,4.057990784923806,-1.6491676695988347,train
2020-04-08,54.52,15.6,38.92,38.173,3.5388090473610516,-1.6606736916586402,train
2020-04-09,52.97,15.71,37.26,37.653,2.746889341169718,-1.691480137818766,train
2020-04-10,52.0,15.35,36.65,37.2565,2.215270626214473,-1.702800578877607,train
2020-04-13,49.91,15.76,34.15,36.7705,1.6925392788725968,-1.74919582911876,train
2020-04-14,56.28,16.46,39.82,36.900999999999996,1.8237436915948004,-1.6439714015718254,train
