Date,spread_ma5,spread_ma20,spread_std,bollinger_high,bollinger_low,zscore,price_ratio,volume_ratio,price_spread
2020-04-23,894.164,832.1685,50.11329178392776,932.3950835678555,731.9419164321445,1.643306537416718,9.586236034175194,0.1260975346781112,914.52
2020-04-24,898.5600000000001,840.575,48.693482380251105,937.9619647605023,743.1880352394978,1.4773024331727616,9.542501404231418,0.11400261129294773,912.51
2020-04-27,907.622,849.7555,48.62988419253111,947.0152683850622,752.4957316149378,1.7868539364801903,9.66305956344802,0.16256856321622673,936.65
2020-04-28,920.942,858.8235000000001,46.31981254791226,951.4631250958246,766.1838749041756,1.6117617039744474,9.15836392239119,0.08237695859762866,933.4800000000001
2020-04-29,925.982,866.0035,46.08039796463347,958.1642959292669,773.8427040707331,1.4484792438474114,9.409213847818249,0.08033389073165383,932.7500000000001
2020-04-30,927.734,873.1,43.19590294899506,959.4918058979902,786.7081941020099,1.1616842472132503,9.303624426657073,0.10785904540305545,923.28
2020-05-06,936.26,879.799,45.06550821333729,969.9300164266746,789.6679835733254,1.6718107259179336,9.405702719352284,0.1427433328686092,955.14
2020-05-07,941.618,887.1899999999999,46.09568754803827,979.3813750960765,794.9986249039234,1.654167755292437,9.211369641182989,0.10049934883185471,963.4399999999999
2020-05-08,947.934,893.9849999999999,47.09690530675813,988.1788106135161,799.7911893864837,1.5091225110665907,9.15635564570656,0.11953532538322091,965.0600000000002
2020-05-11,956.2860000000001,901.3190000000001,47.67007876513048,996.659157530261,805.9788424697391,1.5353656191887266,9.309968448878656,0.09995355122033613,974.51
2020-05-12,968.32,909.1480000000001,47.65737062340835,1004.4627412468168,813.8332587531835,1.5590872729244583,9.311781609195403,0.1298824459152425,983.45
2020-05-13,973.952,916.7215,46.750492513589876,1010.2224850271798,823.2205149728202,1.4241240342151777,9.098336353154341,0.1121161191749427,983.3000000000001
2020-05-14,975.992,923.8709999999999,43.731036780469815,1011.3330735609395,836.4089264390602,1.1380704338166237,8.99901413079198,0.120920755404816,973.6399999999999
2020-05-15,975.2059999999999,929.4275,40.813750633696266,1011.0550012673925,847.7999987326075,0.7767602709324652,8.966926392572944,0.16432608749782127,961.13
2020-05-18,977.9780000000001,936.094,38.86640836181599,1013.8268167236321,858.361183276368,1.3450175152113648,8.806413395466393,0.13810538161649452,988.37
2020-05-19,978.8960000000001,942.2785,36.625832740668756,1015.5301654813375,869.0268345186626,1.2494323425768068,8.789656259854937,0.14043148674832584,988.0400000000001
