Date,Close_1,Vol_1,Close_2,Vol_2,price_spread,price_ratio,volume_ratio
2020-01-02,4.09,2349494,4.92,1193038,-0.8300000000000001,0.8313008130081301,1.9693371040989474
2020-01-03,4.11,1522130,4.92,705831,-0.8099999999999996,0.8353658536585367,2.1565077192699103
2020-01-06,4.09,2265097,4.85,828713,-0.7599999999999998,0.843298969072165,2.7332707463259296
2020-01-07,4.13,1168044,4.84,1106436,-0.71,0.8533057851239669,1.055681485418045
2020-01-08,4.03,1585591,4.75,971101,-0.7199999999999998,0.848421052631579,1.6327766112896598
2020-01-09,4.03,1377134,4.77,848503,-0.7399999999999993,0.8448637316561847,1.6230160647634717
2020-01-10,4.03,978378,4.77,530992,-0.7399999999999993,0.8448637316561847,1.8425475336728236
2020-01-13,4.05,1089910,4.78,735764,-0.7300000000000004,0.8472803347280334,1.4813309702567672
2020-01-14,4.06,1367701,4.77,546323,-0.71,0.8511530398322851,2.503465898378798
2020-01-15,4.0,1288908,4.75,439992,-0.75,0.8421052631578947,2.9293896252659137
2020-01-16,3.92,2690313,4.7,941076,-0.7800000000000002,0.8340425531914893,2.8587627354220064
2020-01-17,3.94,1039490,4.69,553205,-0.7500000000000004,0.8400852878464818,1.8790321851754774
2020-01-20,3.96,1033400,4.71,739731,-0.75,0.8407643312101911,1.39699431279749
2020-01-21,3.89,1432237,4.65,894649,-0.7600000000000002,0.8365591397849462,1.600892640577478
2020-01-22,3.91,1283708,4.66,870633,-0.75,0.8390557939914163,1.4744536446470558
2020-01-23,3.84,2000377,4.58,1255990,-0.7400000000000002,0.8384279475982532,1.5926695276236276
2020-02-03,3.54,4680399,4.05,1936615,-0.5099999999999998,0.8740740740740741,2.416793735461101
2020-02-04,3.62,4013853,4.29,1654195,-0.6699999999999999,0.8438228438228439,2.426469068036114
2020-02-05,3.61,2508538,4.32,1036252,-0.7100000000000004,0.835648148148148,2.4207798875177082
2020-02-06,3.62,2809954,4.3,1439352,-0.6799999999999997,0.8418604651162791,1.952235450397123
2020-02-07,3.56,2373190,4.24,1082384,-0.6800000000000002,0.8396226415094339,2.1925582787624354
2020-02-10,3.54,1902386,4.23,698717,-0.6900000000000004,0.8368794326241134,2.7226845775900688
2020-02-11,3.58,1984985,4.3,948842,-0.7199999999999998,0.8325581395348838,2.0920079423128404
2020-02-12,3.58,2039144,4.3,631234,-0.7199999999999998,0.8325581395348838,3.230409008386747
2020-02-13,3.53,1995658,4.23,919536,-0.7000000000000006,0.8345153664302599,2.170288058325068
2020-02-14,3.55,1415764,4.26,688549,-0.71,0.8333333333333334,2.056155771048974
2020-02-17,3.61,2141949,4.35,909928,-0.7399999999999998,0.8298850574712644,2.3539763585690294
2020-02-18,3.58,1845424,4.31,844002,-0.7299999999999995,0.8306264501160093,2.1865161456963373
2020-02-19,3.6,2040524,4.32,909092,-0.7200000000000002,0.8333333333333333,2.2445737065115523
2020-02-20,3.63,2836681,4.37,1227634,-0.7400000000000002,0.8306636155606407,2.3106895051782534
2020-02-21,3.61,2237103,4.38,925764,-0.77,0.8242009132420092,2.416493836442117
2020-02-24,3.56,1933292,4.32,880498,-0.7600000000000002,0.8240740740740741,2.1956801719027186
2020-02-25,3.53,2301333,4.25,889276,-0.7200000000000002,0.8305882352941176,2.587872606479878
2020-02-26,3.53,2579688,4.26,838203,-0.73,0.8286384976525821,3.0776410964885597
2020-02-27,3.52,2225556,4.28,725983,-0.7600000000000002,0.822429906542056,3.065575915689486
2020-02-28,3.42,4229372,4.11,1279464,-0.6900000000000004,0.8321167883211678,3.3055810870802147
2020-03-02,3.48,2399023,4.2,804392,-0.7200000000000002,0.8285714285714285,2.9824053446578285
2020-03-03,3.5,2554032,4.21,901535,-0.71,0.831353919239905,2.832981525952958
2020-03-04,3.51,1342816,4.21,879905,-0.7000000000000002,0.833729216152019,1.5260920212977538
2020-03-05,3.58,3305398,4.32,1666223,-0.7400000000000002,0.8287037037037037,1.9837668787431215
2020-03-06,3.53,1959499,4.24,835120,-0.7100000000000004,0.8325471698113207,2.3463681866079127
2020-03-09,3.43,2880620,4.09,1639688,-0.6599999999999997,0.8386308068459658,1.7568098321144023
2020-03-10,3.48,2508208,4.14,1227945,-0.6599999999999997,0.8405797101449276,2.042606142783268
2020-03-11,3.44,1694070,4.13,777638,-0.69,0.8329297820823245,2.1784815042474777
2020-03-12,3.41,2462965,4.15,1020851,-0.7400000000000002,0.8216867469879517,2.412658654397165
2020-03-13,3.34,2997241,4.1,1153689,-0.7599999999999998,0.8146341463414635,2.597962709187658
2020-03-16,3.29,3044663,4.03,1386621,-0.7400000000000002,0.8163771712158808,2.195742744412496
2020-03-17,3.29,2577129,4.06,1212003,-0.7699999999999996,0.810344827586207,2.1263387961910984
2020-03-18,3.23,2025068,4.0,882964,-0.77,0.8075,2.2934887492581804
2020-03-19,3.11,2898850,3.82,1563421,-0.71,0.8141361256544503,1.8541710774001372
2020-03-20,3.2,2125136,3.93,1204484,-0.73,0.8142493638676845,1.7643538643933834
2020-03-23,3.11,1399893,3.78,952815,-0.6699999999999999,0.8227513227513228,1.469218053871948
2020-03-24,3.24,2303316,3.98,1048876,-0.7399999999999998,0.814070351758794,2.1959850354093335
2020-03-25,3.3,2321786,3.99,1129855,-0.6900000000000004,0.8270676691729323,2.0549415632979455
2020-03-26,3.3,1556128,4.01,1015230,-0.71,0.8229426433915212,1.5327837041852586
2020-03-27,3.33,1727365,4.08,759302,-0.75,0.8161764705882353,2.274938035195482
2020-03-30,3.34,1953885,4.08,768983,-0.7400000000000002,0.8186274509803921,2.54086891387716
2020-03-31,3.27,1761032,3.95,989833,-0.6800000000000002,0.8278481012658228,1.7791203162553684
2020-04-01,3.28,1018584,3.99,432432,-0.7100000000000004,0.8220551378446115,2.3554778554778553
2020-04-02,3.31,1228856,4.04,366280,-0.73,0.8193069306930693,3.3549634159659276
2020-04-03,3.26,1096046,4.01,407487,-0.75,0.8129675810473815,2.6897692441722065
2020-04-07,3.28,1703016,4.03,925805,-0.7500000000000004,0.813895781637717,1.8394975183759
2020-04-08,3.26,1034743,3.98,527125,-0.7200000000000002,0.8190954773869347,1.9629935973440835
2020-04-09,3.25,735821,4.01,358558,-0.7599999999999998,0.8104738154613467,2.0521672923209078
2020-04-10,3.23,978069,3.98,433716,-0.75,0.8115577889447236,2.255090888968818
2020-04-13,3.22,855087,3.93,391994,-0.71,0.8193384223918575,2.181377776190452
2020-04-14,3.24,883218,3.97,452827,-0.73,0.8161209068010076,1.9504534844432864
2020-04-15,3.25,946035,3.95,342076,-0.7000000000000002,0.8227848101265822,2.765569639495317
2020-04-16,3.24,700632,3.95,348280,-0.71,0.8202531645569621,2.011691742276329
2020-04-17,3.27,1382449,3.96,837998,-0.69,0.8257575757575758,1.6497044145690085
2020-04-20,3.24,1038087,3.92,490513,-0.6799999999999997,0.826530612244898,2.1163292308256865
2020-04-21,3.2,1176049,3.86,483937,-0.6599999999999997,0.8290155440414508,2.430169629517892
2020-04-22,3.21,876584,3.87,381644,-0.6600000000000001,0.8294573643410852,2.2968630451415457
2020-04-23,3.19,1033422,3.82,482795,-0.6299999999999999,0.8350785340314136,2.140498555287441
2020-04-24,3.17,687952,3.81,307280,-0.6400000000000001,0.8320209973753281,2.2388440510283782
2020-04-27,3.21,1172997,3.87,685709,-0.6600000000000001,0.8294573643410852,1.7106338111356274
2020-04-28,3.23,1505136,3.88,647167,-0.6499999999999999,0.8324742268041238,2.325730452881559
2020-04-29,3.27,1210796,4.03,1031207,-0.7600000000000002,0.8114143920595533,1.1741541707920913
