Date,spread_ma5,spread_ma20,spread_std,bollinger_high,bollinger_low,zscore,price_ratio,volume_ratio,price_spread
2021-12-20,251.776,254.4835,9.144546419068588,272.77259283813714,236.1944071618628,-1.7959884774331754,3.724110310104131,0.7120383759094769,238.06
2021-12-21,247.706,253.13400000000001,10.253787182252285,273.6415743645046,232.62642563549545,-1.9889236666915475,3.606270996640538,0.8396624190627652,232.74
2021-12-22,244.342,252.1845,11.00546394201177,274.19542788402356,230.17357211597647,-1.546004792678444,3.604318936877077,0.5789036429847274,235.17000000000002
2021-12-23,241.09,251.59750000000003,11.25752888421439,274.1125577684288,229.08244223157124,-0.8987318712712377,3.6665194346289756,0.6480031864478423,241.48000000000002
2021-12-24,233.42200000000003,249.80300000000003,13.274201770033219,276.3514035400665,223.2545964599336,-2.2707956773753804,3.5181703542359277,1.1719872933623534,219.65999999999997
2021-12-27,230.14000000000001,247.61550000000003,14.144937898692554,275.90537579738515,219.3256242026149,-1.8356743724127693,3.57015306122449,0.9500419815281276,221.64999999999998
2021-12-28,228.38000000000002,245.541,14.434257459981337,274.40951491996265,216.67248508003732,-1.4965092634580128,3.5590218260770192,0.8148604303923471,223.94
2021-12-29,225.208,243.46750000000003,15.093494895413363,273.65448979082674,213.28051020917331,-1.600523945407836,3.5239958568304752,0.7036574083882403,219.31
2021-12-30,222.502,241.4395,14.253103992500272,269.9457079850006,212.93329201499947,-0.9464254247424209,3.642285846760172,1.0586565752128667,227.95000000000005
2021-12-31,223.872,239.336,13.094107714620339,265.5242154292407,213.14778457075934,-0.9795245525343443,3.615588914549654,0.8058249922608606,226.51000000000002
2022-01-04,222.52800000000002,237.39300000000003,13.705333614095604,264.8036672281912,209.9823327718088,-1.638996950566557,3.4546596619460943,0.7135097134402295,214.93
2022-01-05,219.532,235.821,15.07674573988823,265.9744914797765,205.66750852022355,-1.7816178944329084,3.559216166564605,0.5521181005538449,208.96
2022-01-06,217.00799999999998,233.95749999999998,16.27360823542139,266.50471647084277,201.4102835291572,-1.6755657138562006,3.565346903313889,0.7891966255087887,206.69
2022-01-07,212.81800000000004,232.2325,17.232284839493826,266.69706967898765,197.76793032101233,-1.4642573654638567,3.6073812822773648,0.8132634283102993,207.0
2022-01-10,208.762,230.33050000000003,17.919348106974272,266.16919621394857,194.4918037860515,-1.344942899491975,3.5996470439934454,0.9166594713276017,206.23000000000002
2022-01-11,207.314,227.9395,17.56971840980883,263.07893681961764,192.80006318038235,-1.1525227398462523,3.700078003120125,0.39880719823386257,207.69
2022-01-12,209.08199999999997,226.175,16.659433395305104,259.49386679061024,192.8561332093898,-0.5027181778199137,3.6380813953488373,0.5922151284602691,217.8
2022-01-13,211.344,224.4755,15.586512548387088,255.6485250967742,193.30247490322583,-0.41545534832742964,3.647880480991133,0.640232331048714,218.0
2022-01-14,215.06599999999997,222.869,13.492671266087841,249.85434253217568,195.88365746782432,0.2031473194555016,3.764489645876731,0.7765266001551341,225.61
2022-01-17,221.32399999999998,221.84500000000003,11.282227523619284,244.4094550472386,199.28054495276146,1.3893532963401443,3.759934929119219,0.5951937630885982,237.51999999999998
2022-01-18,225.092,221.2685,10.689051100122422,242.64660220024484,199.89039779975514,0.4922326547713598,3.636522346368715,0.8557663089545317,226.52999999999997
2022-01-19,225.844,220.70950000000002,10.344336093268723,241.39817218653747,200.02082781346257,0.08221890630114201,3.716860821581852,0.6247746698751951,221.56
2022-01-20,226.58599999999996,220.0365,9.776278634907259,239.5890572698145,200.48394273018548,0.17117965460032794,3.7398665348492335,0.537743522728788,221.70999999999998
