Date,Close_1,Vol_1,Close_2,Vol_2,price_spread,price_ratio,volume_ratio
2020-01-02,45.92,206116,13.21,159346,32.71,3.4761544284632855,1.2935122312452147
2020-01-03,47.05,180842,13.17,129936,33.879999999999995,3.5725132877752466,1.3917774904568403
2020-01-06,46.8,265002,13.25,169871,33.55,3.532075471698113,1.5600190732967958
2020-01-07,46.47,135075,13.17,93401,33.3,3.5284738041002277,1.4461836597038575
2020-01-08,47.08,192241,12.92,110974,34.16,3.6439628482972135,1.7323066664263702
2020-01-09,50.08,201644,13.04,89217,37.04,3.8404907975460123,2.2601522131432352
2020-01-10,49.14,144280,12.8,109295,36.34,3.8390625,1.3200969852234778
2020-01-13,51.13,215974,14.36,518828,36.77,3.5605849582172704,0.4162728303021425
2020-01-14,50.47,217685,14.97,614976,35.5,3.371409485637942,0.35397316318035177
2020-01-15,50.25,177587,14.93,298705,35.32,3.3657066309444073,0.5945230243886108
2020-01-16,50.86,129342,15.19,335737,35.67,3.34825543120474,0.38524797683901385
2020-01-17,50.12,146624,16.47,530600,33.65,3.043108682452945,0.276336223143611
2020-01-20,54.63,248922,16.74,300776,37.89,3.2634408602150544,0.8275992765380217
2020-01-21,53.77,142671,16.06,203837,37.71000000000001,3.3480697384806977,0.6999269023778804
2020-01-22,60.53,349916,16.91,327980,43.620000000000005,3.579538734476641,1.066882126958961
2020-01-23,58.73,359862,17.1,291585,41.629999999999995,3.434502923976608,1.2341581357065692
2020-02-03,61.39,526346,15.11,100398,46.28,4.062872270019855,5.242594473993506
2020-02-04,68.91,359136,15.94,367775,52.97,4.323086574654956,0.9765100944871185
2020-02-05,77.18,530824,17.43,446230,59.75000000000001,4.427997705106139,1.1895748829079174
2020-02-06,80.57,579190,17.41,301132,63.16,4.627800114876507,1.9233757953322794
2020-02-07,75.19,454995,16.46,321282,58.73,4.568043742405832,1.4161857807160065
2020-02-10,78.0,375409,17.47,352796,60.53,4.464796794504866,1.0640965317067086
2020-02-11,74.19,339946,16.84,196176,57.349999999999994,4.4055819477434675,1.7328623277057336
2020-02-12,74.88,325862,16.89,197456,57.989999999999995,4.433392539964475,1.6503018393971316
2020-02-13,73.05,313610,16.34,236947,56.709999999999994,4.470624235006119,1.323544927768657
2020-02-14,69.47,439619,16.12,211174,53.349999999999994,4.30955334987593,2.0817856364893403
2020-02-17,71.8,344471,16.65,209889,55.15,4.312312312312312,1.6412055896211808
2020-02-18,73.2,282305,16.98,228365,56.22,4.310954063604241,1.236200818864537
2020-02-19,71.3,418168,17.79,437477,53.51,4.007869589657111,0.9558628225026687
2020-02-20,75.08,518440,19.86,649391,55.22,3.7804632426988922,0.7983479906558606
2020-02-21,75.02,338051,19.66,455189,55.36,3.81586978636826,0.7426607409230012
2020-02-24,71.97,365231,19.22,357969,52.75,3.7445369406867846,1.020286672868321
2020-02-25,76.11,516026,20.77,407434,55.34,3.664419836302359,1.2665266030817262
2020-02-26,71.11,338280,21.06,522768,50.05,3.3765432098765435,0.6470939307685245
2020-02-27,69.23,332002,20.51,272700,48.72,3.3754266211604094,1.2174624129079574
2020-02-28,61.56,508447,18.95,338254,42.61,3.248548812664908,1.503151477883484
2020-03-02,63.96,318150,19.44,225643,44.519999999999996,3.2901234567901234,1.4099706173025532
2020-03-03,67.18,296911,19.78,274253,47.400000000000006,3.3963599595551064,1.082617145482456
2020-03-04,66.02,205946,19.35,180933,46.669999999999995,3.4118863049095602,1.1382445435603235
